i, random1, random2, random3
0, 0.8493978340949903, 0.08788876973584792, 0.2668537928259336
1, 0.8396018158541095, 0.4877167388752378, 0.06447865524487395
2, 0.33274152714431926, 0.6549781377941453, 0.8479134754069019
3, 0.9300528454816291, 0.9611342823146304, 0.4024116782917475
4, 0.627468723614418, 0.29600705344507117, 0.20764653833811597
5, 0.07966341643319641, 0.9227990288564369, 0.6515453968304588
6, 0.6999835349426675, 0.7826614699527015, 0.10371110252151428
7, 0.1993233564406104, 0.8671980881020996, 0.020768437753778346
8, 0.20901779713877833, 0.23781514792121106, 0.261993748943646
9, 0.6427762234202806, 0.4296148616898475, 0.5779400852674552
10, 0.9563966571430164, 0.9537332179536967, 0.44548879151583765
11, 0.17644588049466292, 0.7303061256896806, 0.37528477532021665
12, 0.445509026262605, 0.9486666303331955, 0.9795075283241077
13, 0.4460875568823709, 0.41262507179917207, 0.5183383790034978
14, 0.549576958890691, 0.19977110173054446, 0.49518142632075046
15, 0.7052557020763824, 0.01912660027786639, 0.5920572536624199
16, 0.9606710831071471, 0.3008823769356208, 0.5564315600821205
17, 0.14142055213042648, 0.9478393665974735, 0.7443420228160308
18, 0.3234450364430741, 0.3211891168962516, 0.9921360331237487
19, 0.2952519235170705, 0.4935975737382823, 0.48414676460462647
20, 0.23081513442218726, 0.37377481758864084, 0.10519851842464667
21, 0.9076255594871157, 0.07617716907472338, 0.8067314101735993
22, 0.8695813511432819, 0.5415098779104749, 0.36673970690171753
23, 0.18668036254524656, 0.6158038859799654, 0.5041213422813114
24, 0.6432645522055969, 0.5691081322985825, 0.5480638678622699
25, 0.7545865683514541, 0.26616365081568727, 0.1898588747478822
26, 0.7538284264416786, 0.5589820527826325, 0.9735170949609218
27, 0.9202951604625526, 0.8525229585233581, 0.8751683808420894
28, 0.3823028962495274, 0.03122133047801623, 0.4760725360533432
29, 0.38563257003913454, 0.7449510863982313, 0.9099557167654417
30, 0.03257041099685498, 0.10507579260862865, 0.5277263669777258
31, 0.9527921441843923, 0.9049237851921881, 0.44088656752009037
32, 0.39227193666379867, 0.36856662703107146, 0.9734041298840715
33, 0.19825610315364828, 0.354529308830027, 0.317323553529702
34, 0.3666218797419636, 0.5870410735801442, 0.6927499738464085
35, 0.2230754282810149, 0.6871302316907553, 0.9881151745559509
36, 0.3344007262437724, 0.4946702043798126, 0.2436340370551322
37, 0.23832394753460306, 0.8452940321206207, 0.562255323543283
38, 0.08463987665746064, 0.5680342673832928, 0.08427428622485666
39, 0.8193257626405699, 0.2059244189427687, 0.9079071684422173
40, 0.10037359388220224, 0.1471693080461982, 0.6589151618298084
41, 0.15883193505540305, 0.24407310142203198, 0.8750724246532011
42, 0.012621631142772372, 0.1950550680559987, 0.10024141426159983
