i, random1, random2, random3
0, 0.5066535709560634, 0.6630051238419731, 0.7611155076894419
1, 0.711939922478154, 0.07887257169886952, 0.08208134865190408
2, 0.33269917630354584, 0.271856931619902, 0.29220588893750865
3, 0.9151495877161706, 0.4513145509955887, 0.20205475563634112
4, 0.9380021685858824, 0.9148331780289309, 0.6562189268673915
5, 0.4683112121528812, 0.4467323732103732, 0.7400284891735235
6, 0.7796736926745453, 0.16661321604566914, 0.17276846444498117
7, 0.9719676005451268, 0.9939734072301268, 0.33954550640698544
8, 0.9697047955285766, 0.935479078670196, 0.17243111831553193
9, 0.6763631949815757, 0.575283794982108, 0.9062013425975068
10, 0.7403924644419159, 0.3148551151222405, 0.1993793960501793
11, 0.5593943583659858, 0.18020578644117902, 0.17556216177029904
12, 0.49840959472450275, 0.1557521000380988, 0.13798969719158705
13, 0.38626589773603826, 0.23868491687535565, 0.5106117044179829
14, 0.7735605086140768, 0.5384224829742663, 0.6794970789803403
15, 0.5635345584428549, 0.17203654301395033, 0.5508937696542588
16, 0.44467779121819695, 0.3080924111860929, 0.02433073847536238
17, 0.833162852256425, 0.3476271844751977, 0.7158671239668198
18, 0.16469542294783157, 0.21514070188629808, 0.060221573621004554
19, 0.3989539398413203, 0.38266149534585037, 0.3477163407137346
20, 0.2675630904725791, 0.8274585956847036, 0.42182417291107577
21, 0.8450855751263916, 0.7346079311697289, 0.6423167488345827
22, 0.16792108553306695, 0.8118279945557919, 0.8986810982939712
23, 0.8628177604836333, 0.4041644376331651, 0.6803812559404645
24, 0.9514512920398185, 0.031927542347491844, 0.6675572367592585
25, 0.990924435527929, 0.6074607288481084, 0.5838676188355175
26, 0.44141045707548954, 0.5821049563292364, 0.35021173673004224
27, 0.7080959157935833, 0.8581932252415355, 0.06523209313876421
28, 0.25215270036115367, 0.5593920510895646, 0.4122258171092775
29, 0.30853548069674863, 0.3580723061855269, 0.8659725440948185
30, 0.5214275992821525, 0.44913233052563184, 0.2288941000994248
31, 0.5273784400164058, 0.18569391213472775, 0.813147072662356
32, 0.03414619628337523, 0.49748212115329393, 0.4404495045072503
33, 0.5557572040336344, 0.46248851940591795, 0.24748586128777805
34, 0.5420185338491257, 0.48414509586308807, 0.03848789997990598
35, 0.3696479030070947, 0.07365660849541922, 0.16006460860270932
36, 0.10488152031468356, 0.40897306662763233, 0.0077595715943957755
37, 0.544686457661547, 0.9644577509123681, 0.010127292753840833
38, 0.9241089074671518, 0.19629930560847564, 0.9756736780109186
39, 0.2897666375535477, 0.839837151449854, 0.11239691913018823
40, 0.6924697004133826, 0.5191887057809612, 0.8089676759837866
41, 0.9542513982018764, 0.4364975368883026, 0.14912275339220793
42, 0.9758312872530254, 0.08654028620291188, 0.3897360868626444
43, 0.7076449198651965, 0.08806978356253459, 0.07093761798807496
44, 0.5866044376117229, 0.6262694841025807, 0.5478961275720116
45, 0.28403029881189024, 0.18384621653257616, 0.3123868596882715
46, 0.9729145186940406, 0.6966993645140269, 0.9633315392818484
47, 0.4603265572639428, 0.831202348973859, 0.09288926522024721
48, 0.24193517397577158, 0.5527564372980628, 0.018336693959949302
49, 0.22374191966041035, 0.6210996393247851, 0.8818095576097649
50, 0.21754986087378858, 0.10624444735638117, 0.19643989018982444
51, 0.44067980565334774, 0.5078628984490378, 0.7291358506275762
52, 0.22623808071939944, 0.32511841326771707, 0.4401672738858189
53, 0.7717086479196559, 0.4107354649039351, 0.6488719915147563
54, 0.726727132155082, 0.9148468678729866, 0.5805303621646511
55, 0.5593484496092841, 0.02707903584991267, 0.5642810812918352
56, 0.7616163447711904, 0.861894649292485, 0.591808286752943
57, 0.4395807406847768, 0.8461858530366777, 0.7682633303201298
58, 0.11666064798008813, 0.2624830835777171, 0.4958470085537805
59, 0.4333593243133127, 0.3054602663927999, 0.0513621851929994
60, 0.05752997474856425, 0.03575658539515425, 0.34241892627869686
61, 0.455367277258209, 0.664103233614995, 0.9742665070241543
62, 0.5235001532453881, 0.43130294509976674, 0.13056410186833922
63, 0.24023295971644587, 0.9730320455972318, 0.6433741720936378
64, 0.1534048230639692, 0.16556503119841826, 0.8034966169479654
65, 0.4829197341505398, 0.6387858131043607, 0.12218043615563612
66, 0.6743675134484264, 0.5937808566543437, 0.3436630111574477
67, 0.31942451002089867, 0.2629559726504168, 0.8370304882169559
68, 0.06956925090117971, 0.0228649402856278, 0.558973592153595
69, 0.5092339993685632, 0.7299197165765131, 0.9291966668913536
70, 0.4483896512919008, 0.5066172925218799, 0.9951724894728404
71, 0.3720551245941909, 0.8426155244913005, 0.9535795209805267
72, 0.6920076492055711, 0.145395317200389, 0.6054958101904578
73, 0.8917451133253326, 0.642322820472791, 0.29926095057016444
74, 0.6117669426178722, 0.42806633627216395, 0.9627315158348622
75, 0.9798533867133239, 0.6469614381908415, 0.8892712858518778
76, 0.5159630827481905, 0.5408250486821955, 0.5036777243798677
77, 0.38467964959351963, 0.953482428390411, 0.962740308745767
78, 0.5087091627936814, 0.9086414150351695, 0.4318393892965464
79, 0.7825387018870572, 0.5210766811254955, 0.9795996488549418
80, 0.5758184680311418, 0.9094854002344794, 0.19439944798281716
81, 0.4416169364451744, 0.8602153493171365, 0.25981814128653924
82, 0.7234134675727688, 0.09221102175247664, 0.6954887373501443
83, 0.8945250679609015, 0.28645402003257725, 0.08323556618765604
84, 0.938505574667952, 0.891810346641485, 8.658941685346644e-05
85, 0.3515682161610605, 0.41242743864437503, 0.7860501046809192
86, 0.8310455326346476, 0.7554545880944202, 0.4112987429567012
87, 0.013827317855502064, 0.6976410630221397, 0.30451384887494837
88, 0.5736412978801859, 0.7884355572873436, 0.4495723636043536
89, 0.039832155059713936, 0.13580206580901333, 0.7886193613178507
90, 0.2591570773106471, 0.32574855836826055, 0.8396428981061584
91, 0.35682497967943205, 0.6154438906876764, 0.1715124053162964
92, 0.6334239670941785, 0.6217667340162648, 0.9024569928853774
93, 0.8769147459095432, 0.6872702196109032, 0.2226007127528835
94, 0.17127196327533378, 0.3031727952652945, 0.5497775016190277
95, 0.9059643550576992, 0.4456628402282349, 0.8879970980563137
96, 0.6058309485685615, 0.8187717954992011, 0.48874899906761016
97, 0.9994592848046691, 0.3574343203042838, 0.9834995668947787
98, 0.06974367380850044, 0.2064234880182776, 0.26446885001941256
99, 0.42345761221197653, 0.5722471557821811, 0.22063546317909688
